id,category,subcategory,name,address,borough,zip,license_id,license_status,lat,lon,source,source_url
ocm:OCM-RETL-26-000508,cannabis,Adult-Use Retail Dispensary License,Proud New York Cannabis LLC,"25-66 STEINWAY ST, ASTORIA, NY, 11103",Queens,11103,OCM-RETL-26-000508,Active,40.766458,-73.913199,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-25-000312,cannabis,Adult-Use Conditional Retail Dispensary License,Pure Blossoms LLC,"716 Amsterdam Ave, New York, NY, 10025",Manhattan,10025,OCM-CAURD-25-000312,Active,40.793289,-73.971272,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000073,cannabis,Adult-Use Conditional Retail Dispensary License,Puro vita enterprises inc.,"288 flushing Ave, Brooklyn, NY, 11205",Brooklyn,11205,OCM-CAURD-24-000073,Active,40.697591,-73.964229,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-25-000449,cannabis,Adult-Use Retail Dispensary License,"Purple Buds, Inc.","7520 Roosevelt Ave, Jackson Heights, NY, 11372",Queens,11372,OCM-RETL-25-000449,Active,40.74685,-73.889658,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-25-000448,cannabis,Adult-Use Retail Dispensary License,Happy Times Cannabis Co.,"1399 Hylan Blvd, Staten Island, NY, 10305",Staten Island,10305,OCM-RETL-25-000448,Active,40.594587,-74.086945,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-25-000241,cannabis,Adult-Use Conditional Retail Dispensary License,"Quality Roots, LLC","330 Tompkins Ave, Brooklyn, Brooklyn, NY, 11216",Brooklyn,11216,OCM-CAURD-25-000241,Active,40.686429,-73.944735,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000127,cannabis,Adult-Use Conditional Retail Dispensary License,QUBE,"1412 Broadway, New York, NY, 10018",Manhattan,10018,OCM-CAURD-24-000127,Active,40.753622,-73.98656,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000062,cannabis,Adult-Use Retail Dispensary License,Queens Delight LLC,"233-20 Northern Blvd, Little Neck, NY, 11362",Queens,11362,OCM-RETL-24-000062,Active,40.770903,-73.734672,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-25-000414,cannabis,Adult-Use Retail Dispensary License,"RAGTIME NEWSTAND AND LOTTO, INC.","15748 Crossbay Blvd, Howard Beach, NY, 11414",Queens,11414,OCM-RETL-25-000414,Active,40.660955,-73.840632,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000079,cannabis,Adult-Use Conditional Retail Dispensary License,Ramon Reyes LLC,"453 Fulton St, Brooklyn, NY, 11201",Brooklyn,11201,OCM-CAURD-24-000079,Active,40.691528,-73.986906,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-24-000211,cannabis,Adult-Use Conditional Retail Dispensary License,Kaya Bliss Dispensary,"8412 3rd Ave, Brooklyn, NY, 11209",Brooklyn,11209,OCM-CAURD-24-000211,Active,40.624757,-74.030793,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-23-000029,cannabis,Adult-Use Conditional Retail Dispensary License,Dagmar Cannabis,"412 W Broadway, New York, NY, 10012",Manhattan,10012,OCM-CAURD-23-000029,Active,40.7249,-74.001852,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-CAURD-26-000348,cannabis,Adult-Use Conditional Retail Dispensary License,"Rocchio Realty, Inc.","297 Port Richmond Ave, Staten Island, NY, 10302",Staten Island,10302,OCM-CAURD-26-000348,Active,40.634017,-74.135833,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000234,cannabis,Adult-Use Retail Dispensary License,ROCKAWAY BEACH CAFE INC.,"114-19 Rockaway Beach Blvd, Rockaway Park, NY, 11694",Queens,11694,OCM-RETL-24-000234,Active,40.579989,-73.835988,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
ocm:OCM-RETL-24-000151,cannabis,Adult-Use Retail Dispensary License,"Rockaway Moonshot, LLC","3405 Avenue H, Brooklyn, NY, 11210",Brooklyn,11210,OCM-RETL-24-000151,Active,40.632174,-73.943403,NYS Office of Cannabis Management,https://data.ny.gov/d/jskf-tt3q
